H: 0.01 N: 100
t		Y		Phi		Error
0		3		3.0		5.3290705182e-15
0.01		3.0		2.99995034663		4.96533707985e-05
0.02		2.9999		2.9998028788		9.71211974918e-05
0.03		2.999702		2.99956007092		0.000141929084233
0.04		2.99940832		2.99922470842		0.000183611576485
0.05		2.9990215955		2.9987998834		0.000221712096157
0.06		2.99854477303		2.99828899014		0.000255782883759
0.07		2.99798110569		2.99769572074		0.000285384947158
0.08		2.99733414876		2.99702406074		0.000310088016545
0.09		2.99660775527		2.99627828477		0.000329470505209
0.1		2.99580607164		2.99546295216		0.000343119475774
0.11		2.99493353329		2.99458290268		0.000350630611497
0.12		2.99399486033		2.99364325214		0.000351608192307
0.13		2.99299505319		2.99264938812		0.00034566507521
0.14		2.99193938833		2.99160696565		0.000332422678733
0.15		2.9908334139		2.99052190293		0.000311510971104
0.16		2.98968294545		2.98940037699		0.000282568461806
0.17		2.98849406162		2.98824881943		0.00024524219624
0.18		2.98727309988		2.98707391213		0.000199187753172
0.19		2.9860266522		2.98588258295		0.000144069244681
0.2		2.9847615608		2.98468200148		7.95593183236e-05
0.21		2.98348491385		2.98347957469		5.33916124956e-06
0.22		2.9822040412		2.9822829427		7.89014940215e-05
0.23		2.9809265101		2.98109997446		0.000173464362378
0.24		2.97966012091		2.97993876351		0.000278642597752
0.25		2.97841290282		2.9788076236		0.000394720783818
0.26		2.97719310958		2.9777150845		0.000521974924002
0.27		2.97600921518		2.97666988761		0.000660672431026
0.28		2.97486990961		2.97568098173		0.000811072116233
0.29		2.97378409453		2.97475751871		0.000973424178857
0.3		2.97276087897		2.97390884917		0.00114797019551
0.31		2.97180957505		2.97314451816		0.00133494311001
0.32		2.97093969366		2.97247426088		0.00153456722386
0.33		2.97016094015		2.97190799834		0.00174705818741
0.34		2.96948321003		2.97145583302		0.00197262299202
0.35		2.96891658462		2.97112804458		0.00221145996334
0.36		2.96847132674		2.9709350855		0.00246375875589
0.37		2.9681578764		2.97088757675		0.00272970034906
0.38		2.96798684643		2.97099630347		0.00300945704479
0.39		2.96796901815		2.97127221061		0.00330319246698
0.4		2.96811533704		2.9717263986		0.00361106156278
0.41		2.96843690838		2.97237011899		0.003933210606
0.42		2.96894499292		2.97321477012		0.00426977720272
0.43		2.96965100248		2.97427189278		0.00462089029909
0.44		2.97056649563		2.97555316583		0.00498667019176
0.45		2.97170317334		2.97707040188		0.0053672285407
0.46		2.97307287457		2.97883554296		0.00576266838484
0.47		2.97468757196		2.98086065612		0.00617308416038
0.48		2.97655936741		2.98315792913		0.00659856172205
0.49		2.97870048779		2.98573966616		0.00703917836737
0.5		2.9811232805		2.98861828337		0.00749500286392
0.51		2.98384020917		2.99180630465		0.00796609547988
0.52		2.98686384925		2.99531635726		0.00845250801771
0.53		2.99020688369		2.99916116754		0.00895428385128
0.54		2.99388209858		3.00335355655		0.00947145796629
0.55		2.9979023788		3.0079064358		0.0100040570043
0.56		3.00228070365		3.01283280296		0.0105520993101
0.57		3.00703014255		3.01814573754		0.0111155949831
0.58		3.01216385073		3.02385839666		0.0116945459317
0.59		3.01769506483		3.02998401076		0.0122889459321
0.6		3.02363709866		3.03653587935		0.0128987806904
0.61		3.0300033389		3.04352736681		0.0135240279086
0.62		3.03680724074		3.0509718981		0.0141646573548
0.63		3.0440623237		3.05888295464		0.0148206309364
0.64		3.0517821673		3.06727407007		0.0154919027784
0.65		3.05998040681		3.07615882612		0.0161784193048
0.66		3.06867072908		3.0855508484		0.016880119324
0.67		3.07786686825		3.09546380237		0.0175969341186
0.68		3.0875826016		3.10591138914		0.0183287875391
0.69		3.09783174538		3.11690734148		0.019075596101
0.7		3.10862815059		3.12846541967		0.019837269087
0.71		3.11998569892		3.14059940757		0.0206137086522
0.72		3.13191829859		3.15332310853		0.0214048099341
0.73		3.1444398803		3.16665034147		0.0222104611659
0.74		3.15756439312		3.18059493692		0.0230305437946
0.75		3.1713058005		3.19517073311		0.0238649326024
0.76		3.18567807624		3.21039157207		0.0247134958326
0.77		3.2006952005		3.22627129581		0.0255760953191
0.78		3.21637115589		3.24282374251		0.0264525866201
0.79		3.23271992353		3.26006274268		0.027342819156
0.8		3.24975547916		3.27800211551		0.0282466363502
0.81		3.26749178934		3.29665566511		0.0291638757752
0.82		3.28594280756		3.31603717686		0.0300943693011
0.83		3.30512247054		3.33616041379		0.0310379432493
0.84		3.32504469445		3.357039113		0.0319944185487
0.85		3.34572337124		3.37868698213		0.0329636108966
0.86		3.36717236496		3.40111769588		0.0339453309228
0.87		3.38940550818		3.42434489254		0.0349393843574
0.88		3.41243659839		3.44838217059		0.0359455722022
0.89		3.43627939449		3.47324308539		0.0369636909057
0.9		3.46094761331		3.49894114585		0.0379935325418
0.91		3.4864549262		3.52548981119		0.0390348849912
0.92		3.51281495561		3.55290248774		0.0400875321269
0.93		3.5400412718		3.5811925258		0.0411512540028
0.94		3.56814738952		3.61037321656		0.0422258270454
0.95		3.59714676482		3.64045778907		0.0433110242484
0.96		3.62705279188		3.67145940725		0.0444066153714
0.97		3.65787879983		3.70339116697		0.0455123671403
0.98		3.68963804979		3.73626609324		0.0466280434515
0.99		3.72234373176		3.77009713734		0.0477534055789
1.0		3.75600896177		3.80489717415		0.0488882123833
